run,rule,ref_id,radius_count,split_fail_radius_count,finite_fail_radius_count,ess_fail_radius_count,split_logZ_per_P_diff_max,split_logZ_per_P_diff_median,split_logZ_per_P_diff_mean,first_split_fail_radius
90ref,real_even_odd,1018,25,10,0,0,0.0139924309915544,0.0028899024595594,0.005023034391836668,0.9
90ref,real_even_odd,1019,25,11,0,0,0.0143456970092496,0.0031145005893858,0.004260311342709807,0.7
90ref,real_even_odd,1020,25,12,0,0,0.0219933428717726,0.0039992606608504,0.004587516672728875,0.5
90ref,real_even_odd,1021,25,14,0,0,0.0150622552343628,0.0051905564280013,0.0051922407885126335,0.6
90ref,real_even_odd,1022,25,13,0,0,0.0197127321756953,0.0047778465510753,0.005972001494214258,0.7
90ref,real_even_odd,1023,25,5,0,0,0.0106513505692347,0.0020557108815931,0.002708177522069201,1.4
90ref,real_even_odd,1024,25,11,0,0,0.0176248459337285,0.0033274485570965,0.005088552126577115,0.9
90ref,real_even_odd,1025,25,12,0,0,0.0182216459737735,0.0035903199295822,0.004814073604793963,0.5
90ref,real_even_odd,1026,25,9,0,0,0.0195194816737403,0.0024712384519792,0.00379478870104856,0.4
90ref,real_even_odd,1027,25,8,0,0,0.0123707051274944,0.002975028785562,0.003315466506303889,1.0
90ref,real_even_odd,1028,25,12,0,0,0.0176658099187147,0.0036265471383829,0.005140032591433399,0.7
90ref,real_even_odd,1029,25,10,0,0,0.0141068238672772,0.0031866197961026,0.0037277060288374133,0.7
90ref,teacher_nn,0,25,10,0,0,0.0118684668203238,0.0034335763182942,0.004270703256791842,0.9
90ref,teacher_nn,1,25,6,0,0,0.0104116477819929,0.0027977123290991,0.003328022173831388,0.8
90ref,teacher_nn,2,25,7,0,0,0.0185651249538812,0.0026335030246278,0.004721909694720265,0.9
90ref,teacher_nn,3,25,12,0,0,0.0172632423838015,0.0037694411155033,0.00498609837643524,0.5
90ref,teacher_nn,4,25,14,0,0,0.018241659594066,0.0044077896592241,0.006278540080571312,0.4
90ref,teacher_nn,5,25,16,0,0,0.0137648562441045,0.0059118533604859,0.005938414410123624,0.5
90ref,teacher_nn,6,25,12,0,0,0.0160555688646788,0.0033003004220919,0.005487459358812381,0.4
90ref,teacher_nn,7,25,12,0,0,0.0199013150940348,0.0036370109316614,0.005095996513260464,0.5
90ref,teacher_nn,8,25,6,0,0,0.0162096481430877,0.0018005491647211,0.0031278568619566636,0.8
90ref,teacher_nn,9,25,14,0,0,0.0176501507257054,0.0043176788239796,0.005337215600961244,0.4
90ref,teacher_nn,10,25,13,0,0,0.013669058965425,0.0040310537665959,0.004474660171407924,0.5
90ref,teacher_nn,11,25,12,0,0,0.019545037230338,0.0038951378000036,0.005175166749593952,0.3
90ref,teacher_nn,12,25,10,0,0,0.0142639557526788,0.0036049795908162,0.004101329844709127,0.3
90ref,teacher_nn,13,25,13,0,0,0.0153810910585037,0.0042706626855808,0.0041953224271075356,0.4
90ref,teacher_nn,14,25,10,0,0,0.01984881787625,0.0028362893010165,0.004392157621439879,0.5
90ref,teacher_nn,15,25,13,0,0,0.0169821412648552,0.0040512804301584,0.005109078967781115,0.6
90ref,teacher_nn,16,25,9,0,0,0.015778807934182,0.0032383389190385,0.004022304568647952,0.8
90ref,teacher_nn,17,25,7,0,0,0.0182868478392423,0.0024788014114636,0.0040154114279608594,0.9
90ref,teacher_nn,18,25,13,0,0,0.0134256708844319,0.0044841638014664,0.004207723263490404,0.8
90ref,teacher_nn,19,25,13,0,0,0.0151733082376455,0.0051340410426107,0.005153675742602028,0.7
90ref,teacher_nn,20,25,10,0,0,0.0147085432585866,0.0031872363102809,0.004450512087109616,0.5
90ref,teacher_nn,21,25,13,0,0,0.0138410638031611,0.0043009309822473,0.004506590828127921,0.3
90ref,teacher_nn,22,25,12,0,0,0.0236927990309107,0.0039746495031644,0.005264048170265332,0.9
90ref,teacher_nn,23,25,11,0,0,0.0150053227438932,0.002729125038562,0.004989241964908326,0.6
90ref,teacher_nn,24,25,16,0,0,0.0169028523207042,0.0055874664800962,0.005829898662380848,0.3
90ref,teacher_nn,25,25,11,0,0,0.0145546222490026,0.0035338206422897,0.004082854212630431,0.3
90ref,teacher_nn,26,25,7,0,0,0.0102802367844409,0.0032412060834219,0.0032095552339321642,0.6
90ref,teacher_nn,27,25,11,0,0,0.0108772516284776,0.0034644088163906,0.004291141318974584,0.5
90ref,teacher_nn,28,25,12,0,0,0.021248922632717,0.0037810577921086,0.004877439953295968,0.6
90ref,teacher_nn,29,25,12,0,0,0.0086346714330102,0.0037124742739312,0.00395311591324148,0.6
90ref,teacher_nn,30,25,11,0,0,0.0115959522549386,0.0032158259461467,0.004514434992014954,0.7
90ref,teacher_nn,31,25,9,0,0,0.0148108546657441,0.0029889867446562,0.00424111522652354,0.5
90ref,teacher_nn,32,25,11,0,0,0.0083878596516311,0.0027586257535184,0.003627453527277397,0.5
90ref,teacher_nn,33,25,12,0,0,0.0121860295737664,0.0038657984689032,0.005238325807096347,0.4
90ref,teacher_nn,34,25,10,0,0,0.0135090102120666,0.0034035543923537,0.0044015465167103005,0.4
90ref,teacher_nn,35,25,12,0,0,0.0169962577801109,0.0037657302772688,0.0053804579616734596,0.8
90ref,teacher_nn,36,25,12,0,0,0.0121396266775255,0.0039445926933282,0.00399891762362284,0.5
90ref,teacher_nn,37,25,11,0,0,0.0179674719680761,0.0034164690821934,0.004864312009872516,0.8
90ref,teacher_nn,38,25,11,0,0,0.013331805579984,0.0019832646128935,0.0038931983597742083,0.5
90ref,teacher_nn,39,25,16,0,0,0.0133917663310786,0.0048220461619165,0.005471439678744829,0.3
90ref,teacher_nn,40,25,13,0,0,0.0158137668943819,0.0046250980547193,0.005596508222147143,0.6
90ref,teacher_nn,41,25,10,0,0,0.0151405695880071,0.0037664694071306,0.004598231040899902,0.7
90ref,teacher_nn,42,25,12,0,0,0.0149207370038909,0.0038346340032626,0.004910242113360894,0.7
90ref,teacher_nn,43,25,11,0,0,0.0181399111723049,0.0035043634462874,0.004832108491509296,1.0
90ref,teacher_nn,44,25,15,0,0,0.0150952944521291,0.0045818356699429,0.004490292614661471,0.5
90ref,teacher_nn,45,25,10,0,0,0.0155646163337468,0.003711586089836,0.004341867933195374,0.3
90ref,teacher_nn,46,25,12,0,0,0.0130311959119258,0.0031275898325665,0.004837404794849943,0.4
90ref,teacher_nn,47,25,12,0,0,0.0133447874608315,0.0038283114095303,0.004540603408792132,0.5
90ref,teacher_nn,48,25,12,0,0,0.009677493553807,0.0025150801905152,0.003922200234905854,0.5
90ref,teacher_nn,49,25,11,0,0,0.0158475908845359,0.0029155808836964,0.004377000760003448,0.8
90ref,teacher_nn,50,25,9,0,0,0.0161603370348292,0.0036923209075779,0.004116688302093488,0.6
90ref,teacher_nn,51,25,10,0,0,0.017463696732814,0.0028636578439868,0.0041030837245362795,0.5
90ref,teacher_nn,52,25,13,0,0,0.010409412958756,0.0040656077707936,0.004479409645901528,0.7
90ref,teacher_nn,53,25,11,0,0,0.012431570010777,0.0037177642335512,0.004889969893463004,0.6
90ref,teacher_nn,54,25,12,0,0,0.010710024201458,0.0038249835639938,0.004877159201186709,0.7
90ref,teacher_nn,55,25,11,0,0,0.0146863473023737,0.003753883527427,0.004568445213952,0.4
90ref,teacher_nn,56,25,14,0,0,0.0188729653817043,0.0042627606660498,0.0044667707905122435,0.3
90ref,teacher_nn,57,25,10,0,0,0.0115075864420567,0.0036016745192942,0.0037483453505199214,0.7
90ref,teacher_nn,58,25,6,0,0,0.0187098525759133,0.00183799666886,0.003366444091667724,1.0
90ref,teacher_nn,59,25,12,0,0,0.0136003863510512,0.0038439097300708,0.004893337554630173,0.6
90ref,teacher_nn,1000,25,9,0,0,0.0122737011056356,0.00246599539,0.0035339152966877927,0.5
90ref,teacher_nn,1001,25,9,0,0,0.0144408350283416,0.0029497827172557,0.003882609924187432,0.3
90ref,teacher_nn,1002,25,14,0,0,0.0116002883506661,0.0042821512529514,0.00543678308459606,0.5
90ref,teacher_nn,1003,25,12,0,0,0.0122121988479153,0.0034435898751303,0.004430602435926504,0.3
90ref,teacher_nn,1004,25,13,0,0,0.0140600893855198,0.004404438250979,0.00558126355326239,0.9
90ref,teacher_nn,1005,25,12,0,0,0.0146366908598743,0.0038178088909593,0.004647821104557448,0.8
90ref,teacher_nn,1006,25,12,0,0,0.011508351187646,0.0032253963306534,0.004303664379088832,0.5
90ref,teacher_nn,1007,25,13,0,0,0.0183563364324751,0.0041301730089324,0.005393653913691541,0.5
90ref,teacher_nn,1008,25,14,0,0,0.0151016613257985,0.004029078287934,0.00521005804444086,0.7
90ref,teacher_nn,1009,25,10,0,0,0.015927902878978,0.0030394705158982,0.0045747219817730955,0.4
90ref,teacher_nn,1010,25,14,0,0,0.0109202060278827,0.0047779548275191,0.004599453792418236,0.4
90ref,teacher_nn,1011,25,13,0,0,0.0157765114808998,0.004179963577073,0.004833567620637028,0.2
90ref,teacher_nn,1012,25,9,0,0,0.0129831004599155,0.0032408177521455,0.0038523388404750718,0.5
90ref,teacher_nn,1013,25,9,0,0,0.0127227912973227,0.0031544122414844,0.004343795280131676,0.8
90ref,teacher_nn,1014,25,13,0,0,0.0111941530892104,0.004796786864383,0.0048620478444066076,0.7
90ref,teacher_nn,1015,25,13,0,0,0.0132381759424566,0.0047300460680342,0.0046788124588238965,0.6
90ref,teacher_nn,1016,25,12,0,0,0.0179631142618748,0.0039419152072272,0.004751490866050367,0.5
90ref,teacher_nn,1017,25,14,0,0,0.0142935001431171,0.0042242239462851,0.005528523554376272,0.7
90ref,teacher_nn,1018,25,9,0,0,0.0197345050324399,0.0026221118829253,0.004477999944099735,0.8
90ref,teacher_nn,1019,25,8,0,0,0.011901299281652,0.0028702396570816,0.00381759557012628,0.2
90ref,teacher_nn,1020,25,10,0,0,0.014995625930438,0.0033492073260888,0.005044117485164704,0.8
90ref,teacher_nn,1021,25,10,0,0,0.0138477943137485,0.0026389798231306,0.004424280120593196,0.5
90ref,teacher_nn,1022,25,10,0,0,0.0157692571305509,0.0026399213929604,0.004063513205048149,0.8
90ref,teacher_nn,1023,25,13,0,0,0.0167866417082323,0.0048303620716681,0.005777495116591043,0.6
90ref,teacher_nn,1024,25,9,0,0,0.0144957907284698,0.0027647815169819,0.004218451270584756,1.1
90ref,teacher_nn,1025,25,7,0,0,0.016154341358012,0.0020636807594452,0.003609883850968013,0.3
90ref,teacher_nn,1026,25,14,0,0,0.0137054565553665,0.0042844024403865,0.005313902630855309,0.6
90ref,teacher_nn,1027,25,15,0,0,0.0165471374044503,0.0045830628426316,0.00553813160139674,0.2
90ref,teacher_nn,1028,25,9,0,0,0.0114782090909765,0.0030872414430905,0.00395830770950425,1.0
90ref,teacher_nn,1029,25,12,0,0,0.0124223478158673,0.0037453059238089,0.00535043479216588,0.5
